date,campaign_id,costs,clicks,views
2024-01-01,1,670.52,40,110
2024-01-01,2,602.5,11,849
2024-01-01,3,654.74,51,566
2024-01-01,4,897.24,86,679
2024-01-01,5,758.19,30,585
2024-01-01,6,523.91,77,883
2024-01-01,7,465.35,98,527
2024-01-01,8,771.47,4,585
2024-01-01,9,973.09,51,255
2024-01-01,10,886.07,88,815
2024-01-01,11,489.74,54,624
2024-01-01,12,522.04,25,898
2024-01-01,13,254.72,23,895
2024-01-01,14,840.0,89,302
2024-01-01,15,420.02,64,974
2024-01-01,16,783.93,38,202
2024-01-01,17,86.72,30,554
2024-01-01,18,480.09,41,484
2024-01-01,19,856.34,95,268
2024-01-01,20,788.08,59,364
2024-01-01,21,827.98,80,993
2024-01-01,22,286.24,34,977
2024-01-01,23,716.25,82,782
2024-01-01,24,291.43,18,627
2024-01-01,25,753.79,67,260
2024-01-01,26,383.26,87,880
2024-01-01,27,677.17,89,257
2024-01-01,28,707.68,76,25
2024-01-01,29,569.4,43,509
2024-01-01,30,618.91,11,652
2024-01-01,31,31.61,34,32
2024-01-01,32,758.02,17,337
2024-01-01,33,134.04,20,863
2024-01-01,34,601.02,85,44
2024-01-01,35,719.89,72,422
2024-01-01,36,539.17,84,804
2024-01-01,37,510.99,71,101
2024-01-01,38,481.5,68,992
2024-01-01,39,885.05,52,276
2024-01-01,40,646.31,26,29
2024-01-01,41,156.19,4,701
2024-01-01,42,40.91,29,489
2024-01-01,43,930.25,28,441
2024-01-01,44,400.85,79,572
2024-01-01,45,199.77,26,204
2024-01-01,46,69.01,49,66
2024-01-01,47,501.0,41,305
2024-01-01,48,911.59,49,590
2024-01-01,49,444.41,48,266
2024-01-01,50,88.84,35,612
2024-01-01,51,741.46,52,756
2024-01-01,52,427.88,55,317
2024-01-01,53,319.41,48,705
2024-01-01,54,903.17,15,761
2024-01-01,55,339.33,99,72
2024-01-01,56,394.53,74,462
2024-01-01,57,766.42,1,725
2024-01-01,58,66.37,82,572
2024-01-01,59,582.38,85,142
2024-01-01,60,673.06,52,850
2024-01-01,61,224.43,20,279
2024-01-01,62,223.89,65,595
2024-01-01,63,120.71,10,362
2024-01-01,64,998.38,69,469
2024-01-01,65,275.23,19,462
2024-01-01,66,80.91,62,493
2024-01-01,67,603.87,48,19
2024-01-01,68,843.78,68,378
2024-01-01,69,22.02,48,793
2024-01-01,70,155.24,47,354
2024-01-01,71,91.12,22,624
2024-01-01,72,979.98,14,334
2024-01-01,73,302.82,92,131
2024-01-01,74,416.9,54,16
2024-01-01,75,712.81,53,385
