visitid,visitDateTime,URL,duration,clientID,source,UTMCampaign,params
720128,2024-01-23 18:23:48,https://our-cool-website.com/return-policy,80,289,ad,month_openconcept_kitchens_launch_20240611,[]
695905,2024-07-24 03:32:19,https://our-cool-website.com/customer-service,66,765,internal,month_contemporary_kitchens_collection_20240914,"['submit', 9469]"
124704,2024-05-21 15:29:08,https://our-cool-website.com/edit,91,440,internal,month_openconcept_kitchens_experience_20240930,[]
442188,2024-01-30 21:11:15,https://our-cool-website.com/home,65,140,organic,month_contemporary_kitchen_launch_20240322,"['submit', 911]"
644057,2024-03-11 14:05:08,https://our-cool-website.com/new-arrivals,22,357,internal,month_openconcept_kitchens_event_20240618,[]
511300,2024-06-16 16:41:01,https://our-cool-website.com/edit,57,918,direct,month_openconcept_kitchens_event_20241210,"['submit', 9928]"
453192,2024-05-25 05:11:25,https://our-cool-website.com/best-sellers,64,114,ad,quarter_ecofriendly_kitchen_experience_20241119,[]
976969,2024-10-11 21:53:10,https://our-cool-website.com/reviews,85,558,organic,month_contemporary_kitchens_event_20240920,[]
875845,2024-09-03 02:21:18,https://our-cool-website.com/wishlist,0,344,internal,quarter_traditional_kitchens_fair_20240518,[]
578317,2025-01-13 22:05:08,https://our-cool-website.com/about,63,164,organic,month_smart_kitchen_innovation_20241202,"['submit', 4618]"
832703,2024-12-03 00:12:23,https://our-cool-website.com/new-arrivals,20,329,ad,year_luxury_kitchens_show_20240411,[]
584988,2024-03-25 13:17:02,https://our-cool-website.com/settings,63,209,ad,month_smart_kitchens_launch_20240905,"['submit', 6538]"
654571,2024-06-09 17:42:01,https://our-cool-website.com/delete,84,719,ad,month_contemporary_kitchens_promotion_20241215,[]
271155,2024-03-09 08:02:52,https://our-cool-website.com/checkout,52,717,ad,year_traditional_kitchens_launch_20240707,"['submit', 4993]"
505012,2024-12-01 07:20:53,https://our-cool-website.com/top50,62,725,ad,month_contemporary_kitchens_event_20240920,[]
776324,2024-06-05 09:43:06,https://our-cool-website.com/wishlist,35,226,organic,year_modern_kitchen_experience_20240702,[]
498077,2024-04-20 17:16:34,https://our-cool-website.com/checkout,34,280,direct,year_traditional_kitchens_showcase_20241018,[]
631188,2024-06-12 17:26:39,https://our-cool-website.com/settings,70,338,internal,quarter_custom_kitchens_showcase_20240210,"['submit', 614]"
808125,2024-11-26 19:01:47,https://our-cool-website.com/view,45,188,internal,quarter_traditional_kitchens_fair_20240518,"['submit', 5898]"
326030,2024-11-15 16:05:19,https://our-cool-website.com/delete,49,219,internal,year_modern_kitchens_showcase_20241014,[]
267059,2024-02-12 16:16:43,https://our-cool-website.com/top50,48,688,direct,month_openconcept_kitchens_showcase_20241204,[]
908982,2024-05-20 11:48:01,https://our-cool-website.com/top50,89,898,internal,month_contemporary_kitchens_show_20240612,[]
477107,2024-06-17 21:45:40,https://our-cool-website.com/return-policy,76,354,internal,quarter_luxury_kitchen_presentation_20240215,"['submit', 3761]"
251617,2024-08-19 03:51:42,https://our-cool-website.com/add,46,437,internal,quarter_custom_kitchens_innovation_20240817,[]
